id;laufen_nr;aufgabenteiltyp;text;aufgabe_id
1;1;TEXT;Text1;1
2;2;TEXT;Text2;1
3;1;TEXT;Text3;2
4;1;TEXT;Text4;3
5;1;TEXT;Text5;4
6;1;TEXT;Text6;5
7;1;TEXT;Text7;6
8;1;TEXT;Text8;7
9;1;TEXT;Text9;8
10;1;TEXT;Text10;9
11;1;TEXT;Text11;10
12;3;MULTIPLECHOICE;Text1;1
13;2;MULTIPLECHOICE;Text2;10
14;2;MULTIPLECHOICE;Text3;2
15;2;MULTIPLECHOICE;Text4;3
16;2;MULTIPLECHOICE;Text5;4
17;2;MULTIPLECHOICE;Text6;5
18;2;MULTIPLECHOICE;Text7;6
19;2;MULTIPLECHOICE;Text8;7
20;2;MULTIPLECHOICE;Text9;8
21;2;MULTIPLECHOICE;Text10;9
